sale_id,date,month,weekday,branch_id,branch_name,department,product_id,product_name,category,unit_price,discount,final_price,quantity,total,payment_method,customer_id,cost_usd,margin_usd,margin_total,margin_pct,budget_usd,variance,achievement_pct,status,total_payroll,headcount,revenue_per_employee,payroll_ratio,efficiency_status,target_category,investment_usd,roi_pct_adjusted,num_campaigns
11,2024-06-30,6,Sunday,6,Usulután,Usulután,6,Kolachampán,Beverages,0.75,0.1,0.68,7,4.76,Cash,480,0.35,0.4,2.8000000000000003,53.333333333333336,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Beverages,500,1.2037333333333333,2
12,2024-09-30,9,Monday,3,San Miguel,San Miguel,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,8,8.0,Cash,139,0.55,0.44999999999999996,3.5999999999999996,44.99999999999999,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Traditional Food,1950,0.531975128205128,3
13,2024-12-16,12,Monday,4,Soyapango,San Salvador,18,Curtido en frasco,Groceries,2.0,0.15,1.7,11,18.7,Credit card,29,0.9,1.1,12.100000000000001,55.00000000000001,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Groceries,350,2.290714285714286,1
14,2024-06-10,6,Monday,1,San Salvador Centro,San Salvador,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,13,9.75,Cash,468,0.3,0.45,5.8500000000000005,60.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Beverages,500,1.2037333333333333,2
15,2024-12-01,12,Sunday,4,Soyapango,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,16,128.0,Credit card,330,3.5,4.5,72.0,56.25,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Handicrafts,2250,2.939564814814815,3
16,2024-05-15,5,Wednesday,3,San Miguel,San Miguel,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,5,4.5,Debit card,276,0.45,0.45,2.25,50.0,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Groceries,350,2.290714285714286,1
17,2024-10-25,10,Friday,7,La Libertad,La Libertad,9,Camisa guayabera,Clothing,18.0,0.0,18.0,13,234.0,Cash,71,9.0,9.0,117.0,50.0,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Clothing,400,0.89325,1
18,2024-02-16,2,Friday,8,Chalatenango,Chalatenango,17,Queso duro blando,Dairy,3.5,0.15,2.98,2,5.96,Cash,322,1.8,1.7,3.4,48.57142857142857,18000,-1665.6599999999962,0.907463333333334,🟢 On Track,1630,3,5444.780000000002,0.09978976805919307,🟢 High,Dairy,550,1.1310733333333334,2
19,2024-11-01,11,Friday,7,La Libertad,La Libertad,6,Kolachampán,Beverages,0.75,0.0,0.75,3,2.25,Cash,240,0.35,0.4,1.2000000000000002,53.333333333333336,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Beverages,500,1.2037333333333333,2
20,2024-10-10,10,Thursday,5,Metrocentro,San Salvador,17,Queso duro blando,Dairy,3.5,0.1,3.15,1,3.15,Debit card,350,1.8,1.7,1.7,48.57142857142857,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Dairy,550,1.1310733333333334,2
21,2024-11-24,11,Sunday,5,Metrocentro,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,11,22.0,Cash,81,0.9,1.1,12.100000000000001,55.00000000000001,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Groceries,350,2.290714285714286,1
22,2024-05-14,5,Tuesday,1,San Salvador Centro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,17,13.09,Cash,468,0.45,0.45,7.65,50.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Groceries,350,2.290714285714286,1
23,2024-11-23,11,Saturday,5,Metrocentro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.05,2.38,17,40.46,Cash,192,1.2,1.3,22.1,52.0,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Traditional Food,1950,0.531975128205128,3
24,2024-11-02,11,Saturday,1,San Salvador Centro,San Salvador,6,Kolachampán,Beverages,0.75,0.0,0.75,11,8.25,Cash,476,0.35,0.4,4.4,53.333333333333336,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Beverages,500,1.2037333333333333,2
25,2024-05-02,5,Thursday,5,Metrocentro,San Salvador,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,2,24.0,Credit card,485,5.5,6.5,13.0,54.166666666666664,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Handicrafts,2250,2.939564814814815,3
26,2024-09-05,9,Thursday,2,Santa Ana,Santa Ana,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,3,2.55,Debit card,65,0.55,0.44999999999999996,1.3499999999999999,44.99999999999999,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Traditional Food,1950,0.531975128205128,3
27,2024-10-08,10,Tuesday,8,Chalatenango,Chalatenango,5,Atol de elote,Beverages,1.0,0.0,1.0,6,6.0,Debit card,311,0.45,0.55,3.3000000000000003,55.00000000000001,18000,-1665.6599999999962,0.907463333333334,🟢 On Track,1630,3,5444.780000000002,0.09978976805919307,🟢 High,Beverages,500,1.2037333333333333,2
28,2024-10-03,10,Thursday,4,Soyapango,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.1,1.08,7,7.56,Cash,344,0.65,0.5499999999999999,3.8499999999999996,45.83333333333333,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Groceries,350,2.290714285714286,1
29,2024-09-21,9,Saturday,8,Chalatenango,Chalatenango,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,15,180.0,Cash,33,5.5,6.5,97.5,54.166666666666664,18000,-1665.6599999999962,0.907463333333334,🟢 On Track,1630,3,5444.780000000002,0.09978976805919307,🟢 High,Handicrafts,2250,2.939564814814815,3
30,2024-10-28,10,Monday,1,San Salvador Centro,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,18,144.0,Debit card,4,3.5,4.5,81.0,56.25,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Handicrafts,2250,2.939564814814815,3
31,2024-04-27,4,Saturday,1,San Salvador Centro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,3,3.0,Credit card,37,0.55,0.44999999999999996,1.3499999999999999,44.99999999999999,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
32,2024-05-22,5,Wednesday,4,Soyapango,San Salvador,17,Queso duro blando,Dairy,3.5,0.0,3.5,16,56.0,Debit card,371,1.8,1.7,27.2,48.57142857142857,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Dairy,550,1.1310733333333334,2
33,2024-08-30,8,Friday,4,Soyapango,San Salvador,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,14,21.0,Cash,338,0.7,0.8,11.200000000000001,53.333333333333336,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Dairy,550,1.1310733333333334,2
34,2024-08-04,8,Sunday,6,Usulután,Usulután,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,14,16.8,Credit card,28,0.65,0.5499999999999999,7.699999999999999,45.83333333333333,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Groceries,350,2.290714285714286,1
35,2024-07-25,7,Thursday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.15,2.12,11,23.32,Credit card,128,1.2,1.3,14.3,52.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
36,2024-10-01,10,Tuesday,4,Soyapango,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,15,22.5,Cash,143,0.65,0.85,12.75,56.666666666666664,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Beverages,500,1.2037333333333333,2
37,2024-02-08,2,Thursday,4,Soyapango,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,15,11.55,Credit card,282,0.45,0.45,6.75,50.0,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Groceries,350,2.290714285714286,1
38,2024-11-29,11,Friday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.15,2.12,18,38.16,Cash,48,1.2,1.3,23.400000000000002,52.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
39,2024-07-27,7,Saturday,3,San Miguel,San Miguel,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,16,12.0,Cash,206,0.3,0.45,7.2,60.0,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Beverages,500,1.2037333333333333,2
40,2024-07-13,7,Saturday,3,San Miguel,San Miguel,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,1,0.5,Cash,402,0.2,0.3,0.3,60.0,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Traditional Food,1950,0.531975128205128,3
41,2024-08-04,8,Sunday,5,Metrocentro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.1,0.81,18,14.58,Debit card,80,0.45,0.45,8.1,50.0,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Groceries,350,2.290714285714286,1
42,2024-04-21,4,Sunday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.05,1.42,2,2.84,Debit card,32,0.65,0.85,1.7,56.666666666666664,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Beverages,500,1.2037333333333333,2
43,2024-01-26,1,Friday,1,San Salvador Centro,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,19,152.0,Debit card,437,3.5,4.5,85.5,56.25,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Handicrafts,2250,2.939564814814815,3
44,2024-01-30,1,Tuesday,3,San Miguel,San Miguel,17,Queso duro blando,Dairy,3.5,0.0,3.5,17,59.5,Credit card,36,1.8,1.7,28.9,48.57142857142857,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Dairy,550,1.1310733333333334,2
45,2024-07-25,7,Thursday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.05,0.95,4,3.8,Cash,305,0.55,0.44999999999999996,1.7999999999999998,44.99999999999999,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Traditional Food,1950,0.531975128205128,3
46,2024-08-02,8,Friday,2,Santa Ana,Santa Ana,2,Pupusas de frijol,Traditional Food,0.5,0.05,0.47,19,8.93,Debit card,479,0.2,0.3,5.7,60.0,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Traditional Food,1950,0.531975128205128,3
47,2024-12-08,12,Sunday,4,Soyapango,San Salvador,9,Camisa guayabera,Clothing,18.0,0.0,18.0,11,198.0,Cash,68,9.0,9.0,99.0,50.0,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Clothing,400,0.89325,1
48,2024-06-10,6,Monday,8,Chalatenango,Chalatenango,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,3,105.0,Cash,289,18.0,17.0,51.0,48.57142857142857,18000,-1665.6599999999962,0.907463333333334,🟢 On Track,1630,3,5444.780000000002,0.09978976805919307,🟢 High,Handicrafts,2250,2.939564814814815,3
49,2024-10-02,10,Wednesday,2,Santa Ana,Santa Ana,4,Yuca frita,Traditional Food,2.5,0.05,2.38,7,16.66,Cash,478,1.2,1.3,9.1,52.0,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Traditional Food,1950,0.531975128205128,3
50,2024-05-05,5,Sunday,2,Santa Ana,Santa Ana,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,12,144.0,Cash,427,5.5,6.5,78.0,54.166666666666664,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Handicrafts,2250,2.939564814814815,3
51,2024-11-09,11,Saturday,5,Metrocentro,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,17,34.0,Debit card,284,0.9,1.1,18.700000000000003,55.00000000000001,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Groceries,350,2.290714285714286,1
52,2024-03-09,3,Saturday,2,Santa Ana,Santa Ana,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,9,315.0,Credit card,381,18.0,17.0,153.0,48.57142857142857,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Handicrafts,2250,2.939564814814815,3
53,2024-05-19,5,Sunday,3,San Miguel,San Miguel,18,Curtido en frasco,Groceries,2.0,0.05,1.9,10,19.0,Cash,176,0.9,1.1,11.0,55.00000000000001,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Groceries,350,2.290714285714286,1
54,2024-09-15,9,Sunday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,16,24.0,Bitcoin,434,0.65,0.85,13.6,56.666666666666664,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Beverages,500,1.2037333333333333,2
55,2024-11-20,11,Wednesday,2,Santa Ana,Santa Ana,2,Pupusas de frijol,Traditional Food,0.5,0.15,0.42,14,5.88,Cash,2,0.2,0.3,4.2,60.0,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Traditional Food,1950,0.531975128205128,3
56,2024-11-22,11,Friday,3,San Miguel,San Miguel,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,9,72.0,Debit card,283,3.5,4.5,40.5,56.25,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Handicrafts,2250,2.939564814814815,3
57,2024-02-27,2,Tuesday,1,San Salvador Centro,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.1,1.08,3,3.24,Bitcoin,280,0.65,0.5499999999999999,1.65,45.83333333333333,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Groceries,350,2.290714285714286,1
58,2024-10-25,10,Friday,6,Usulután,Usulután,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,18,9.0,Cash,22,0.2,0.3,5.3999999999999995,60.0,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Traditional Food,1950,0.531975128205128,3
59,2024-01-21,1,Sunday,6,Usulután,Usulután,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,12,420.0,Debit card,342,18.0,17.0,204.0,48.57142857142857,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Handicrafts,2250,2.939564814814815,3
60,2024-10-13,10,Sunday,6,Usulután,Usulután,4,Yuca frita,Traditional Food,2.5,0.05,2.38,14,33.32,Debit card,474,1.2,1.3,18.2,52.0,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Traditional Food,1950,0.531975128205128,3
61,2024-03-31,3,Sunday,3,San Miguel,San Miguel,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,14,10.5,Cash,474,0.3,0.45,6.3,60.0,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Beverages,500,1.2037333333333333,2
62,2024-12-08,12,Sunday,7,La Libertad,La Libertad,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,8,64.0,Cash,360,3.5,4.5,36.0,56.25,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Handicrafts,2250,2.939564814814815,3
63,2024-01-20,1,Saturday,7,La Libertad,La Libertad,4,Yuca frita,Traditional Food,2.5,0.0,2.5,16,40.0,Cash,471,1.2,1.3,20.8,52.0,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Traditional Food,1950,0.531975128205128,3
64,2024-06-05,6,Wednesday,6,Usulután,Usulután,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,8,7.2,Cash,99,0.45,0.45,3.6,50.0,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Groceries,350,2.290714285714286,1
65,2024-05-22,5,Wednesday,6,Usulután,Usulután,13,Aceite vegetal 1L,Groceries,2.8,0.15,2.38,3,7.14,Cash,329,1.8,0.9999999999999998,2.999999999999999,35.71428571428571,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Groceries,350,2.290714285714286,1
66,2024-12-13,12,Friday,7,La Libertad,La Libertad,17,Queso duro blando,Dairy,3.5,0.0,3.5,18,63.0,Bitcoin,60,1.8,1.7,30.599999999999998,48.57142857142857,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Dairy,550,1.1310733333333334,2
67,2024-10-24,10,Thursday,3,San Miguel,San Miguel,9,Camisa guayabera,Clothing,18.0,0.0,18.0,9,162.0,Cash,223,9.0,9.0,81.0,50.0,18000,-6378.879999999992,0.645617777777778,🔴 Below Target,1630,3,3873.706666666669,0.14026186804714166,🔴 Low,Clothing,400,0.89325,1
68,2024-08-11,8,Sunday,6,Usulután,Usulután,12,Canasta de palma,Handicrafts,12.0,0.05,11.4,20,228.0,Cash,461,5.5,6.5,130.0,54.166666666666664,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Handicrafts,2250,2.939564814814815,3
69,2024-01-23,1,Tuesday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,14,21.0,Debit card,413,0.65,0.85,11.9,56.666666666666664,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Beverages,500,1.2037333333333333,2
70,2024-07-05,7,Friday,4,Soyapango,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,14,28.0,Bitcoin,472,0.9,1.1,15.400000000000002,55.00000000000001,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Groceries,350,2.290714285714286,1
71,2024-12-05,12,Thursday,6,Usulután,Usulután,11,Jarrito de barro,Handicrafts,8.0,0.1,7.2,4,28.8,Bitcoin,260,3.5,4.5,18.0,56.25,16800,-4396.6900000000005,0.738292261904762,🟡 At Risk,1630,3,4134.4366666666665,0.13141653316735613,🟡 Medium,Handicrafts,2250,2.939564814814815,3
72,2024-06-16,6,Sunday,7,La Libertad,La Libertad,10,Hamaca artesanal,Handicrafts,35.0,0.1,31.5,13,409.5,Cash,66,18.0,17.0,221.0,48.57142857142857,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Handicrafts,2250,2.939564814814815,3
73,2024-12-06,12,Friday,7,La Libertad,La Libertad,7,Café salvadoreño,Beverages,1.5,0.1,1.35,13,17.55,Debit card,90,0.65,0.85,11.049999999999999,56.666666666666664,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Beverages,500,1.2037333333333333,2
74,2024-10-07,10,Monday,7,La Libertad,La Libertad,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,1,35.0,Cash,221,18.0,17.0,17.0,48.57142857142857,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Handicrafts,2250,2.939564814814815,3
75,2024-08-14,8,Wednesday,8,Chalatenango,Chalatenango,11,Jarrito de barro,Handicrafts,8.0,0.1,7.2,15,108.0,Cash,243,3.5,4.5,67.5,56.25,18000,-1665.6599999999962,0.907463333333334,🟢 On Track,1630,3,5444.780000000002,0.09978976805919307,🟢 High,Handicrafts,2250,2.939564814814815,3
76,2024-05-25,5,Saturday,2,Santa Ana,Santa Ana,6,Kolachampán,Beverages,0.75,0.1,0.68,17,11.56,Debit card,172,0.35,0.4,6.800000000000001,53.333333333333336,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Beverages,500,1.2037333333333333,2
77,2024-12-10,12,Tuesday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,10,10.0,Credit card,76,0.55,0.44999999999999996,4.5,44.99999999999999,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Traditional Food,1950,0.531975128205128,3
78,2024-05-05,5,Sunday,1,San Salvador Centro,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.05,0.47,16,7.52,Credit card,38,0.25,0.25,4.0,50.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
79,2024-11-18,11,Monday,7,La Libertad,La Libertad,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,19,17.1,Debit card,197,0.45,0.45,8.55,50.0,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Groceries,350,2.290714285714286,1
80,2024-05-04,5,Saturday,7,La Libertad,La Libertad,16,Crema salvadoreña,Dairy,1.5,0.1,1.35,5,6.75,Debit card,458,0.7,0.8,4.0,53.333333333333336,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Dairy,550,1.1310733333333334,2
