sale_id,date,month,weekday,branch_id,branch_name,department,product_id,product_name,category,unit_price,discount,final_price,quantity,total,payment_method,customer_id
43,2024-01-26,1,Friday,1,San Salvador Centro,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,19,152.0,Debit card,437
44,2024-01-30,1,Tuesday,3,San Miguel,San Miguel,17,Queso duro blando,Dairy,3.5,0.0,3.5,17,59.5,Credit card,36
45,2024-07-25,7,Thursday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.05,0.95,4,3.8,Cash,305
46,2024-08-02,8,Friday,2,Santa Ana,Santa Ana,2,Pupusas de frijol,Traditional Food,0.5,0.05,0.47,19,8.93,Debit card,479
47,2024-12-08,12,Sunday,4,Soyapango,San Salvador,9,Camisa guayabera,Clothing,18.0,0.0,18.0,11,198.0,Cash,68
48,2024-06-10,6,Monday,8,Chalatenango,Chalatenango,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,3,105.0,Cash,289
49,2024-10-02,10,Wednesday,2,Santa Ana,Santa Ana,4,Yuca frita,Traditional Food,2.5,0.05,2.38,7,16.66,Cash,478
50,2024-05-05,5,Sunday,2,Santa Ana,Santa Ana,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,12,144.0,Cash,427
51,2024-11-09,11,Saturday,5,Metrocentro,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,17,34.0,Debit card,284
52,2024-03-09,3,Saturday,2,Santa Ana,Santa Ana,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,9,315.0,Credit card,381
53,2024-05-19,5,Sunday,3,San Miguel,San Miguel,18,Curtido en frasco,Groceries,2.0,0.05,1.9,10,19.0,Cash,176
54,2024-09-15,9,Sunday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,16,24.0,Bitcoin,434
55,2024-11-20,11,Wednesday,2,Santa Ana,Santa Ana,2,Pupusas de frijol,Traditional Food,0.5,0.15,0.42,14,5.88,Cash,2
56,2024-11-22,11,Friday,3,San Miguel,San Miguel,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,9,72.0,Debit card,283
57,2024-02-27,2,Tuesday,1,San Salvador Centro,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.1,1.08,3,3.24,Bitcoin,280
58,2024-10-25,10,Friday,6,Usulután,Usulután,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,18,9.0,Cash,22
59,2024-01-21,1,Sunday,6,Usulután,Usulután,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,12,420.0,Debit card,342
60,2024-10-13,10,Sunday,6,Usulután,Usulután,4,Yuca frita,Traditional Food,2.5,0.05,2.38,14,33.32,Debit card,474
61,2024-03-31,3,Sunday,3,San Miguel,San Miguel,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,14,10.5,Cash,474
62,2024-12-08,12,Sunday,7,La Libertad,La Libertad,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,8,64.0,Cash,360
63,2024-01-20,1,Saturday,7,La Libertad,La Libertad,4,Yuca frita,Traditional Food,2.5,0.0,2.5,16,40.0,Cash,471
64,2024-06-05,6,Wednesday,6,Usulután,Usulután,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,8,7.2,Cash,99
65,2024-05-22,5,Wednesday,6,Usulután,Usulután,13,Aceite vegetal 1L,Groceries,2.8,0.15,2.38,3,7.14,Cash,329
66,2024-12-13,12,Friday,7,La Libertad,La Libertad,17,Queso duro blando,Dairy,3.5,0.0,3.5,18,63.0,Bitcoin,60
67,2024-10-24,10,Thursday,3,San Miguel,San Miguel,9,Camisa guayabera,Clothing,18.0,0.0,18.0,9,162.0,Cash,223
68,2024-08-11,8,Sunday,6,Usulután,Usulután,12,Canasta de palma,Handicrafts,12.0,0.05,11.4,20,228.0,Cash,461
69,2024-01-23,1,Tuesday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,14,21.0,Debit card,413
70,2024-07-05,7,Friday,4,Soyapango,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,14,28.0,Bitcoin,472
71,2024-12-05,12,Thursday,6,Usulután,Usulután,11,Jarrito de barro,Handicrafts,8.0,0.1,7.2,4,28.8,Bitcoin,260
72,2024-06-16,6,Sunday,7,La Libertad,La Libertad,10,Hamaca artesanal,Handicrafts,35.0,0.1,31.5,13,409.5,Cash,66
73,2024-12-06,12,Friday,7,La Libertad,La Libertad,7,Café salvadoreño,Beverages,1.5,0.1,1.35,13,17.55,Debit card,90
74,2024-10-07,10,Monday,7,La Libertad,La Libertad,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,1,35.0,Cash,221
75,2024-08-14,8,Wednesday,8,Chalatenango,Chalatenango,11,Jarrito de barro,Handicrafts,8.0,0.1,7.2,15,108.0,Cash,243
76,2024-05-25,5,Saturday,2,Santa Ana,Santa Ana,6,Kolachampán,Beverages,0.75,0.1,0.68,17,11.56,Debit card,172
77,2024-12-10,12,Tuesday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,10,10.0,Credit card,76
78,2024-05-05,5,Sunday,1,San Salvador Centro,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.05,0.47,16,7.52,Credit card,38
79,2024-11-18,11,Monday,7,La Libertad,La Libertad,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,19,17.1,Debit card,197
80,2024-05-04,5,Saturday,7,La Libertad,La Libertad,16,Crema salvadoreña,Dairy,1.5,0.1,1.35,5,6.75,Debit card,458
81,2024-04-22,4,Monday,7,La Libertad,La Libertad,4,Yuca frita,Traditional Food,2.5,0.15,2.12,6,12.72,Transfer,266
82,2024-10-12,10,Saturday,1,San Salvador Centro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,8,6.16,Cash,69
83,2024-08-14,8,Wednesday,6,Usulután,Usulután,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,20,15.4,Debit card,259
84,2024-03-22,3,Friday,8,Chalatenango,Chalatenango,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,16,19.2,Cash,127
85,2024-11-16,11,Saturday,8,Chalatenango,Chalatenango,9,Camisa guayabera,Clothing,18.0,0.0,18.0,8,144.0,Cash,366
86,2024-05-19,5,Sunday,4,Soyapango,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,11,385.0,Credit card,42
87,2024-04-28,4,Sunday,3,San Miguel,San Miguel,5,Atol de elote,Beverages,1.0,0.1,0.9,13,11.7,Cash,110
88,2024-07-27,7,Saturday,7,La Libertad,La Libertad,3,Tamales de elote,Traditional Food,1.0,0.05,0.95,11,10.45,Cash,32
89,2024-07-18,7,Thursday,7,La Libertad,La Libertad,7,Café salvadoreño,Beverages,1.5,0.1,1.35,19,25.65,Cash,451
90,2024-01-04,1,Thursday,8,Chalatenango,Chalatenango,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,12,33.6,Credit card,437
91,2024-09-06,9,Friday,4,Soyapango,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,8,9.6,Cash,15
92,2024-12-08,12,Sunday,6,Usulután,Usulután,13,Aceite vegetal 1L,Groceries,2.8,0.1,2.52,13,32.76,Cash,240
93,2024-07-20,7,Saturday,1,San Salvador Centro,San Salvador,5,Atol de elote,Beverages,1.0,0.05,0.95,19,18.05,Debit card,43
94,2024-08-24,8,Saturday,3,San Miguel,San Miguel,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,6,7.2,Cash,168
95,2024-06-16,6,Sunday,8,Chalatenango,Chalatenango,7,Café salvadoreño,Beverages,1.5,0.15,1.27,11,13.97,Credit card,143
96,2024-02-11,2,Sunday,5,Metrocentro,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,16,19.2,Debit card,27
97,2024-11-28,11,Thursday,4,Soyapango,San Salvador,12,Canasta de palma,Handicrafts,12.0,0.15,10.2,3,30.6,Transfer,21
98,2024-04-12,4,Friday,4,Soyapango,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.05,0.47,1,0.47,Cash,65
99,2024-10-15,10,Tuesday,2,Santa Ana,Santa Ana,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,7,10.5,Debit card,393
100,2024-11-06,11,Wednesday,3,San Miguel,San Miguel,12,Canasta de palma,Handicrafts,12.0,0.1,10.8,20,216.0,Debit card,399
101,2024-02-25,2,Sunday,5,Metrocentro,San Salvador,6,Kolachampán,Beverages,0.75,0.0,0.75,19,14.25,Bitcoin,295
102,2024-04-11,4,Thursday,7,La Libertad,La Libertad,13,Aceite vegetal 1L,Groceries,2.8,0.05,2.66,3,7.98,Debit card,322
103,2024-12-22,12,Sunday,2,Santa Ana,Santa Ana,8,Fresco de tamarindo,Beverages,0.75,0.15,0.64,10,6.4,Debit card,413
104,2024-06-26,6,Wednesday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.0,2.5,18,45.0,Debit card,36
105,2024-01-07,1,Sunday,6,Usulután,Usulután,17,Queso duro blando,Dairy,3.5,0.15,2.98,14,41.72,Cash,222
106,2024-12-28,12,Saturday,8,Chalatenango,Chalatenango,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,5,60.0,Cash,268
107,2024-08-26,8,Monday,8,Chalatenango,Chalatenango,9,Camisa guayabera,Clothing,18.0,0.15,15.3,14,214.2,Debit card,138
108,2024-02-14,2,Wednesday,4,Soyapango,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,9,72.0,Cash,238
109,2024-01-15,1,Monday,6,Usulután,Usulután,13,Aceite vegetal 1L,Groceries,2.8,0.15,2.38,16,38.08,Cash,250
110,2024-05-12,5,Sunday,6,Usulután,Usulután,7,Café salvadoreño,Beverages,1.5,0.0,1.5,11,16.5,Credit card,360
111,2024-09-21,9,Saturday,1,San Salvador Centro,San Salvador,9,Camisa guayabera,Clothing,18.0,0.0,18.0,7,126.0,Cash,209
112,2024-12-19,12,Thursday,4,Soyapango,San Salvador,16,Crema salvadoreña,Dairy,1.5,0.1,1.35,16,21.6,Debit card,230
113,2024-05-30,5,Thursday,2,Santa Ana,Santa Ana,1,Pupusas de queso,Traditional Food,0.5,0.0,0.5,8,4.0,Debit card,157
114,2024-10-10,10,Thursday,8,Chalatenango,Chalatenango,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,17,204.0,Cash,382
115,2024-06-29,6,Saturday,6,Usulután,Usulután,18,Curtido en frasco,Groceries,2.0,0.0,2.0,15,30.0,Cash,119
116,2024-06-10,6,Monday,4,Soyapango,San Salvador,4,Yuca frita,Traditional Food,2.5,0.1,2.25,4,9.0,Debit card,391
117,2024-04-20,4,Saturday,4,Soyapango,San Salvador,6,Kolachampán,Beverages,0.75,0.0,0.75,16,12.0,Debit card,390
118,2024-02-21,2,Wednesday,5,Metrocentro,San Salvador,17,Queso duro blando,Dairy,3.5,0.0,3.5,7,24.5,Cash,92
119,2024-12-28,12,Saturday,1,San Salvador Centro,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,18,630.0,Cash,499
120,2024-12-23,12,Monday,5,Metrocentro,San Salvador,2,Pupusas de frijol,Traditional Food,0.5,0.1,0.45,5,2.25,Credit card,252
121,2024-10-20,10,Sunday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.0,2.5,10,25.0,Cash,175
122,2024-05-09,5,Thursday,1,San Salvador Centro,San Salvador,6,Kolachampán,Beverages,0.75,0.0,0.75,16,12.0,Credit card,206
123,2024-10-22,10,Tuesday,2,Santa Ana,Santa Ana,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,2,3.0,Cash,289
124,2024-05-07,5,Tuesday,2,Santa Ana,Santa Ana,10,Hamaca artesanal,Handicrafts,35.0,0.05,33.25,4,133.0,Credit card,311
125,2024-08-18,8,Sunday,7,La Libertad,La Libertad,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,15,11.25,Credit card,220
126,2024-11-08,11,Friday,1,San Salvador Centro,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.15,29.75,4,119.0,Cash,109
127,2024-03-21,3,Thursday,2,Santa Ana,Santa Ana,9,Camisa guayabera,Clothing,18.0,0.0,18.0,8,144.0,Debit card,81
128,2024-08-18,8,Sunday,7,La Libertad,La Libertad,1,Pupusas de queso,Traditional Food,0.5,0.0,0.5,20,10.0,Cash,119
129,2024-12-25,12,Wednesday,5,Metrocentro,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,15,525.0,Debit card,474
130,2024-08-05,8,Monday,4,Soyapango,San Salvador,9,Camisa guayabera,Clothing,18.0,0.05,17.1,4,68.4,Cash,77
131,2024-02-06,2,Tuesday,3,San Miguel,San Miguel,9,Camisa guayabera,Clothing,18.0,0.0,18.0,2,36.0,Credit card,305
132,2024-03-04,3,Monday,8,Chalatenango,Chalatenango,10,Hamaca artesanal,Handicrafts,35.0,0.1,31.5,15,472.5,Cash,207
133,2024-08-12,8,Monday,8,Chalatenango,Chalatenango,9,Camisa guayabera,Clothing,18.0,0.05,17.1,3,51.3,Cash,222
134,2024-01-14,1,Sunday,5,Metrocentro,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,3,24.0,Transfer,429
135,2024-10-22,10,Tuesday,5,Metrocentro,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.15,0.42,2,0.84,Credit card,241
136,2024-05-22,5,Wednesday,8,Chalatenango,Chalatenango,17,Queso duro blando,Dairy,3.5,0.05,3.32,6,19.92,Cash,417
137,2024-08-28,8,Wednesday,2,Santa Ana,Santa Ana,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,12,18.0,Cash,344
138,2024-06-17,6,Monday,3,San Miguel,San Miguel,4,Yuca frita,Traditional Food,2.5,0.1,2.25,14,31.5,Cash,340
139,2024-08-20,8,Tuesday,1,San Salvador Centro,San Salvador,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,3,8.4,Cash,60
140,2024-12-02,12,Monday,1,San Salvador Centro,San Salvador,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,18,50.4,Cash,97
141,2024-11-14,11,Thursday,6,Usulután,Usulután,17,Queso duro blando,Dairy,3.5,0.1,3.15,16,50.4,Cash,27
142,2024-10-08,10,Tuesday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,5,7.5,Cash,358
143,2024-01-15,1,Monday,2,Santa Ana,Santa Ana,16,Crema salvadoreña,Dairy,1.5,0.15,1.27,20,25.4,Cash,82
144,2024-10-09,10,Wednesday,1,San Salvador Centro,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,14,490.0,Cash,431
145,2024-03-01,3,Friday,8,Chalatenango,Chalatenango,4,Yuca frita,Traditional Food,2.5,0.0,2.5,5,12.5,Bitcoin,150
146,2024-07-31,7,Wednesday,5,Metrocentro,San Salvador,17,Queso duro blando,Dairy,3.5,0.0,3.5,16,56.0,Cash,283
147,2024-04-07,4,Sunday,7,La Libertad,La Libertad,5,Atol de elote,Beverages,1.0,0.05,0.95,20,19.0,Debit card,70
148,2024-07-31,7,Wednesday,5,Metrocentro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,11,9.35,Debit card,421
149,2024-06-01,6,Saturday,5,Metrocentro,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.05,0.47,19,8.93,Transfer,251
150,2024-10-02,10,Wednesday,8,Chalatenango,Chalatenango,5,Atol de elote,Beverages,1.0,0.0,1.0,16,16.0,Cash,391
151,2024-08-21,8,Wednesday,7,La Libertad,La Libertad,18,Curtido en frasco,Groceries,2.0,0.15,1.7,11,18.7,Cash,358
152,2024-04-29,4,Monday,7,La Libertad,La Libertad,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,14,10.5,Cash,243
153,2024-12-05,12,Thursday,7,La Libertad,La Libertad,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,5,14.0,Transfer,65
154,2024-02-21,2,Wednesday,6,Usulután,Usulután,17,Queso duro blando,Dairy,3.5,0.0,3.5,15,52.5,Debit card,234
155,2024-07-28,7,Sunday,3,San Miguel,San Miguel,1,Pupusas de queso,Traditional Food,0.5,0.0,0.5,5,2.5,Cash,497
156,2024-11-15,11,Friday,6,Usulután,Usulután,9,Camisa guayabera,Clothing,18.0,0.1,16.2,13,210.6,Cash,169
157,2024-06-11,6,Tuesday,7,La Libertad,La Libertad,18,Curtido en frasco,Groceries,2.0,0.15,1.7,16,27.2,Debit card,317
158,2024-11-19,11,Tuesday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,10,10.0,Debit card,223
159,2024-08-15,8,Thursday,2,Santa Ana,Santa Ana,4,Yuca frita,Traditional Food,2.5,0.1,2.25,6,13.5,Cash,15
160,2024-01-29,1,Monday,6,Usulután,Usulután,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,10,5.0,Cash,75
161,2024-10-16,10,Wednesday,7,La Libertad,La Libertad,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,6,4.5,Cash,313
162,2024-09-11,9,Wednesday,4,Soyapango,San Salvador,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,19,53.2,Cash,327
163,2024-05-10,5,Friday,8,Chalatenango,Chalatenango,9,Camisa guayabera,Clothing,18.0,0.15,15.3,1,15.3,Cash,148
164,2024-02-07,2,Wednesday,3,San Miguel,San Miguel,18,Curtido en frasco,Groceries,2.0,0.0,2.0,15,30.0,Transfer,154
165,2024-08-21,8,Wednesday,5,Metrocentro,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,10,12.0,Transfer,437
166,2024-05-01,5,Wednesday,2,Santa Ana,Santa Ana,16,Crema salvadoreña,Dairy,1.5,0.05,1.42,13,18.46,Cash,152
167,2024-12-03,12,Tuesday,1,San Salvador Centro,San Salvador,10,Hamaca artesanal,Handicrafts,35.0,0.0,35.0,13,455.0,Cash,443
168,2024-05-26,5,Sunday,8,Chalatenango,Chalatenango,2,Pupusas de frijol,Traditional Food,0.5,0.05,0.47,8,3.76,Credit card,113
169,2024-12-13,12,Friday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.1,1.35,5,6.75,Cash,322
170,2024-08-13,8,Tuesday,5,Metrocentro,San Salvador,2,Pupusas de frijol,Traditional Food,0.5,0.05,0.47,2,0.94,Cash,68
171,2024-06-16,6,Sunday,5,Metrocentro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,14,14.0,Cash,403
172,2024-09-28,9,Saturday,6,Usulután,Usulután,18,Curtido en frasco,Groceries,2.0,0.0,2.0,17,34.0,Credit card,132
173,2024-06-22,6,Saturday,5,Metrocentro,San Salvador,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,4,6.0,Transfer,73
174,2024-10-12,10,Saturday,7,La Libertad,La Libertad,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,12,9.0,Credit card,8
175,2024-08-20,8,Tuesday,2,Santa Ana,Santa Ana,9,Camisa guayabera,Clothing,18.0,0.1,16.2,12,194.4,Debit card,135
176,2024-02-25,2,Sunday,6,Usulután,Usulután,13,Aceite vegetal 1L,Groceries,2.8,0.0,2.8,8,22.4,Cash,453
177,2024-11-08,11,Friday,6,Usulután,Usulután,18,Curtido en frasco,Groceries,2.0,0.1,1.8,8,14.4,Cash,422
178,2024-11-28,11,Thursday,5,Metrocentro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,14,12.6,Cash,485
179,2024-09-09,9,Monday,5,Metrocentro,San Salvador,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,4,2.0,Cash,276
180,2024-08-20,8,Tuesday,7,La Libertad,La Libertad,5,Atol de elote,Beverages,1.0,0.1,0.9,12,10.8,Bitcoin,357
181,2024-10-27,10,Sunday,7,La Libertad,La Libertad,18,Curtido en frasco,Groceries,2.0,0.0,2.0,5,10.0,Debit card,427
182,2024-05-23,5,Thursday,7,La Libertad,La Libertad,16,Crema salvadoreña,Dairy,1.5,0.1,1.35,2,2.7,Cash,228
183,2024-07-04,7,Thursday,4,Soyapango,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.1,0.81,4,3.24,Cash,462
184,2024-07-22,7,Monday,1,San Salvador Centro,San Salvador,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,9,108.0,Transfer,486
185,2024-12-05,12,Thursday,2,Santa Ana,Santa Ana,15,Arroz blanco 1lb,Groceries,0.9,0.1,0.81,7,5.67,Debit card,498
186,2024-06-19,6,Wednesday,1,San Salvador Centro,San Salvador,1,Pupusas de queso,Traditional Food,0.5,0.0,0.5,8,4.0,Credit card,106
187,2024-10-27,10,Sunday,4,Soyapango,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,7,5.95,Credit card,169
188,2024-05-21,5,Tuesday,1,San Salvador Centro,San Salvador,5,Atol de elote,Beverages,1.0,0.0,1.0,5,5.0,Debit card,409
189,2024-12-04,12,Wednesday,2,Santa Ana,Santa Ana,6,Kolachampán,Beverages,0.75,0.0,0.75,1,0.75,Cash,405
190,2024-01-09,1,Tuesday,6,Usulután,Usulután,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,6,4.5,Cash,380
191,2024-02-02,2,Friday,2,Santa Ana,Santa Ana,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,16,19.2,Credit card,263
